htid,series_id,year,rights,title
mdp.39015068969792,WWSSW,1989,ic,Who's who in the South and Southwest.
mdp.39015068969784,WWSSW,1992,ic,Who's who in the South and Southwest.
mdp.39015046857671,WWSSW,2000,ic,Who's who in the South and Southwest.
mdp.39015046804301,WWSSW,2001,ic,Who's who in the South and Southwest.
mdp.39015046422914,WWSSW,2002,ic,Who's who in the South and Southwest.
mdp.39015054023018,WWSSW,2003,ic,Who's who in the South and Southwest.
mdp.39015054036986,WWSSW,2004,ic,Who's who in the South and Southwest.
mdp.39015058000988,WWSSW,2005,ic,Who's who in the South and Southwest.
uc1.b000887098,WWW,1913,pd,Who's who in the West.
uc1.$b730679,WWW,1949,ic,Who's who in the West.
uc1.$b730683,WWW,1949,ic,Who's who in the West.
cub.p105212805006,WWW,1949,ic,Who's who in the West.
uc1.$b730680,WWW,1954,ic,Who's who in the West.
uc1.$b714794,WWW,1954,ic,Who's who in the West.
cub.p105212805010,WWW,1954,ic,Who's who in the West.
uc1.$b730681,WWW,1956,ic,Who's who in the West.
cub.p105212805012,WWW,1956,ic,Who's who in the West.
uc1.$b730682,WWW,1958,ic,Who's who in the West.
mdp.39015068969768,WWW,1960,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
rul.39030032747893,WWW,1960,ic,Who's who in the West.
cub.p107280109002,WWW,1960,ic,Who's who in the West.
uc1.$c233424,WWW,1962,ic,Who's who in the West.
uc1.31175028589490,WWW,1962,ic,Who's who in the West.
uva.x001179542,WWW,1962,ic,Who's who in the West.
uva.x000957343,WWW,1962,ic,Who's who in the West.
uva.x000450917,WWW,1962,ic,Who's who in the West.
uva.x030227108,WWW,1962,ic,Who's who in the West.
uva.x030227107,WWW,1962,ic,Who's who in the West.
uva.x030227106,WWW,1962,ic,Who's who in the West.
uva.x030227105,WWW,1962,ic,Who's who in the West.
uva.x030227104,WWW,1962,ic,Who's who in the West.
uva.x030227103,WWW,1962,ic,Who's who in the West.
uva.x030227102,WWW,1962,ic,Who's who in the West.
uva.x004278895,WWW,1962,ic,Who's who in the West.
uva.x004051799,WWW,1962,ic,Who's who in the West.
uva.x002412824,WWW,1962,ic,Who's who in the West.
uva.x001623498,WWW,1962,ic,Who's who in the West.
uva.x001622609,WWW,1962,ic,Who's who in the West.
uva.x000448683,WWW,1962,ic,Who's who in the West.
uva.x000448684,WWW,1962,ic,Who's who in the West.
